x_Battery_0	0
x_Battery_1	0
x_Battery_2	0
x_Battery_3	0
x_CHP_0	0
x_CHP_1	0
x_CHP_2	0
x_CHP_3	0
x_CHP_4	0
x_HP_0	0
x_HP_1	0
x_HP_2	0
x_HP_3	0
x_HP_4	0
x_HP_5	0
x_TES_0	1
x_TES_1	0
x_TES_2	0
x_TES_3	0
x_TES_4	0
x_Boiler_0	1
x_Boiler_1	0
x_Boiler_2	0
x_Boiler_3	0
x_Boiler_4	0
x_Boiler_5	0
x_PV	1
x_STC	0
x_EH	0
y_HP_0_0_0	0
y_HP_0_0_1	0
y_HP_0_0_2	0
y_HP_0_0_3	0
y_HP_0_0_4	0
y_HP_0_0_5	0
y_CHP_0_0_0	0
y_CHP_0_0_1	0
y_CHP_0_0_2	0
y_CHP_0_0_3	0
y_CHP_0_0_4	0
y_Boiler_0_0_0	1
y_Boiler_0_0_1	0
y_Boiler_0_0_2	0
y_Boiler_0_0_3	0
y_Boiler_0_0_4	0
y_Boiler_0_0_5	0
y_HP_0_1_0	0
y_HP_0_1_1	0
y_HP_0_1_2	0
y_HP_0_1_3	0
y_HP_0_1_4	0
y_HP_0_1_5	0
y_CHP_0_1_0	0
y_CHP_0_1_1	0
y_CHP_0_1_2	0
y_CHP_0_1_3	0
y_CHP_0_1_4	0
y_Boiler_0_1_0	0
y_Boiler_0_1_1	0
y_Boiler_0_1_2	0
y_Boiler_0_1_3	0
y_Boiler_0_1_4	0
y_Boiler_0_1_5	0
y_HP_0_2_0	0
y_HP_0_2_1	0
y_HP_0_2_2	0
y_HP_0_2_3	0
y_HP_0_2_4	0
y_HP_0_2_5	0
y_CHP_0_2_0	0
y_CHP_0_2_1	0
y_CHP_0_2_2	0
y_CHP_0_2_3	0
y_CHP_0_2_4	0
y_Boiler_0_2_0	0
y_Boiler_0_2_1	0
y_Boiler_0_2_2	0
y_Boiler_0_2_3	0
y_Boiler_0_2_4	0
y_Boiler_0_2_5	0
y_HP_0_3_0	0
y_HP_0_3_1	0
y_HP_0_3_2	0
y_HP_0_3_3	0
y_HP_0_3_4	0
y_HP_0_3_5	0
y_CHP_0_3_0	0
y_CHP_0_3_1	0
y_CHP_0_3_2	0
y_CHP_0_3_3	0
y_CHP_0_3_4	0
y_Boiler_0_3_0	1
y_Boiler_0_3_1	0
y_Boiler_0_3_2	0
y_Boiler_0_3_3	0
y_Boiler_0_3_4	0
y_Boiler_0_3_5	0
y_HP_0_4_0	0
y_HP_0_4_1	0
y_HP_0_4_2	0
y_HP_0_4_3	0
y_HP_0_4_4	0
y_HP_0_4_5	0
y_CHP_0_4_0	0
y_CHP_0_4_1	0
y_CHP_0_4_2	0
y_CHP_0_4_3	0
y_CHP_0_4_4	0
y_Boiler_0_4_0	0
y_Boiler_0_4_1	0
y_Boiler_0_4_2	0
y_Boiler_0_4_3	0
y_Boiler_0_4_4	0
y_Boiler_0_4_5	0
y_HP_0_5_0	0
y_HP_0_5_1	0
y_HP_0_5_2	0
